src_word,desc,src_alt
Abdampfwärme ,топлина за претворање во пареа, 
Abdankung ,1. абдикација <br/><br/> 2. абдицирање,
Abdeckung ,1. поклопка <br/><br/> 2. поклопување,
Abdichtung ,1. затнување <br/><br/> 2. запечатување,
Abdrift ,1. поместување <br/><br/> 2. разместување <br/><br/> 3. оддалечување,
Abdruck ,1. отпечаток <br/><br/> 2. копија,
Abend ,1. вечер <br/> &emsp; <i>am Abend ≈ навечер</i> <br/><br/> 2. вечер <br/> &emsp; <i>guten Abend! ≈ добра вечер!</i>,
Abendessen ,вечера,
Abendmahl ,вечера,
Abendmahl ,1. причесна <br/><br/> 2. (тајна вечера), 
Abendrot ,приквечерина,
Abendröte ,1. приквечерина <br/><br/> 2. заоѓање на сонцето <br/><br/> 3. самрак,
Abendsmahlsbrot ,нафора, 
Abenteuer ,авантура,
Abenteuerer ,авантурист,
Aberglaube ,1. суеверие <br/><br/> 2. празноверие,
Aberkennung ,губење <br/> &emsp; <i>Aberkennung der Staatsbürgerschaft ≈ губење на државјанството</i>,
Aberteuerin ,авантуристка,
Aberwitz ,1. лудост <br/> &emsp; <i>welch ein Aberwitz! ≈ каква лудост!</i> <br/><br/> 2. лудило,
Abfahrt ,1. поаѓање <br/><br/> 2. тргнување,
Abfall ,1. отпад <br/><br/> 2. ѓубре, 
Abfalleimer ,(канта за отпадоци),
Abfallstoff ,(отпаден материјал),
Abfallwirtschaft ,1. отстранување отпад <br/><br/> 2. стопанисување со отпад, 
Abfangjäger ,(авион ловец-пресретнувач), 
Abfassung ,1. составување <br/><br/> 2. опфаќање,
Abfertigung ,1. спремање <br/><br/> 2. подготовка <br/> &emsp; <i>Abfertigung am Flughafen ≈ подготовка на аеродром</i> <br/><br/> 3. испраќање,
Abfindung ,1. надоместок <br/><br/> 2. надомест <br/><br/> 3. компензација, 
Abflug ,1. полетување <br/><br/> 2. летнување,
Abflugzeit ,време на полетување, 
Abfluss ,1. истек <br/><br/> 2. одвод <br/> &emsp; <i>Der Abfluss der Badewanne ist verstopft. ≈ Одводот на кадата е затнат.</i>,
Abfolge ,редослед,
Abfuhr ,1. транспорт <br/> &emsp; <i>Müllabfuhr ≈ транспорт на ѓубре</i> <br/><br/> 2. превоз <br/><br/> 3. одбивање <br/> &emsp; <i>Sie hat ihm eine Abfuhr erteilt. ≈ Таа го одби.</i>,
Abführmittel ,лаксатив, 
Abgabe ,1. данок <br/><br/> 2. такса <br/><br/> 3. давачка, 
Abgang ,1. заминување <br/><br/> 2. напуштање на службата <br/><br/> 3. замин,
Abgangszeugnis ,исписница (исписно свидетелство), 
Abgas ,(издувен гас) <br/> &emsp; <i>Abgasuntersuchung ≈ контрола на издувните гасови</i>, 
Abgaskatalysator ,(неутрализатор на издувни гасови), 
Abgeneigtheit ,1. несклоност <br/><br/> 2. ненаклонетост,
Abgeordnetenhaus ,собрание, 
Abgesang ,1. крај на песна <br/><br/> 2. последна песна,
Abgeschiedenheit ,1. издвоеност <br/><br/> 2. изолација,
Abgeschlagenheit ,1. истоштеност <br/><br/> 2. депримираност,
Abgeschlossenheit ,изолација,
Abglanz ,1. одблесок <br/><br/> 2. одраз <br/><br/> 3. рефлекс,
Abgott ,идол,
Abgottschlange ,змија од рајот <br/> &emsp; <i>hat Eva zum verbotenen Apfel verleitet ≈ она што ја натера Ева да скине од забранетата јаболкница</i>,
Abgrenzung ,1. разграничување <br/><br/> 2. дистанцирање,
Abgrund ,1. бездна <br/><br/> 2. амбис,
Abhandenkommen ,губење,
Abhandlung ,1. состав <br/><br/> 2. статија,
Abhilfe ,1. чаре <br/><br/> 2. помошно средство,
Abholzung ,1. сек <br/><br/> 2. горолом, 
Abhängigkeit ,зависност <br/> &emsp; <i>in Abhängigkeit von ≈ во зависност од</i>,
Abitur ,матура,
Abiturient ,матурант,
Abiturientin ,матурантка,
Abiturprüfung ,(матурски испит),
Abkehr ,1. враќање назад <br/><br/> 2. менување став,
Abklatsch ,1. дупликат <br/><br/> 2. лоша копија,
Abkommen ,1. спогодба <br/><br/> 2. договор,
Abkunft ,1. потомство <br/><br/> 2. потекло,
Abkömmling ,потомок,
Abkühlung ,1. ладење <br/><br/> 2. разладување,
Abkürzung ,1. кратенка <br/><br/> 2. скратеница <br/><br/> 3. скратување <br/><br/> 4. кратење <br/><br/> 5. превар,
Abladeplatz ,"место за истовар), истоваралиште",
Abladung ,1. истоварање <br/><br/> 2. растоварање <br/><br/> 3. (отказ на покана),
Ablage ,1. архив <br/><br/> 2. досие,
Ablagerung ,таложење,
Ablass ,(проштевање гревови), 
Ablassbrief ,индулгенција, 
Ablauf ,1. тек <br/><br/> 2. истекување,
Ablaut ,сродни зборови, 
Ableben ,1. смрт <br/> &emsp; <i>das frühe Ableben des Künstlers ≈ прераната смрт на уметникот</i> <br/><br/> 2. починување,
Ableger ,1. гранка <br/><br/> 2. претставништво,
Ablehnung ,1. одбивање <br/><br/> 2. отфрлање <br/><br/> 3. исклучување,
Ableitung ,одвод,
Ableitung ,1. диференцијал <br/> &emsp; <i>erste Ableitung ≈ прв диференцијал</i> <br/><br/> 2. извод, 
Ablenkung ,1. отклонување <br/><br/> 2. пренасочување <br/><br/> 3. разонода,
Ablenkungsmanöver ,1. диверзија <br/><br/> 2. маневар за залажување,
Ablichtung ,1. фотографија <br/><br/> 2. копија <br/><br/> 3. осветлување,
Ablieferung ,испорака,
Ablösesumme ,1. сума за откуп <br/> &emsp; <i>für den Wechsel in den neuen Verein wurde eine Ablösesumme gezahlt ≈ за преминување во новиот клуб беше платена откупнина</i> <br/><br/> 2. откупнина, 
Ablösung ,1. разрешување <br/><br/> 2. отстранување <br/><br/> 3. сменување <br/> &emsp; <i>Wachablösung ≈ сменување на стража</i> <br/><br/> 4. откупување <br/><br/> 5. ослободување,
Ablösungssumme ,откупнина,
Abmachung ,1. договор <br/><br/> 2. спогодба <br/> &emsp; <i>eine Abmachung treffen ≈ склучи една спогодба</i> <br/><br/> 3. обврзување,
Abmahnung ,(опомена со казна), 
Abmessung ,одмерување,
Abnahme ,1. одземање <br/><br/> 2. симнување <br/><br/> 3. намалување <br/><br/> 4. прием <br/><br/> 5. акцептирање,
Abnehmer ,муштерија, 
Abneigung ,1. одбивност <br/><br/> 2. нерасположение <br/><br/> 3. антипатија <br/><br/> 4. аверзија,
Abnormalität ,1. ненормалност <br/><br/> 2. абнормалност,
Abnutzung ,абење,
Abonnement ,претплата,
Abonnementvorstellung ,претстава за абоненти,
Abonnent ,1. абонент <br/><br/> 2. претплатник,
Abonnentin ,1. абонентка <br/><br/> 2. претплатничка,
Abordnung ,1. делегација <br/><br/> 2. пратеништво,
Abort ,клозет <br/> &emsp; <i>Toilette ≈ тоалет</i>,
Abort ,абортус <br/> &emsp; <i>Fehlgeburt ≈ прекин на бременост</i>, 
Abpfiff ,1. крај на натпреварот <br/><br/> 2. отсвирен крај на натпреварот, 
Abprodukt ,отпаден продукт, 
Abrakadabra ,магична формула,
Abrasion ,абразија,
Abrechnung ,пресметка,
Abrede ,1. спогодба <br/> &emsp; <i>etwas in Abrede stellen ≈ негира; оспорува</i> <br/><br/> 2. договор,
Abreibung ,1. истривање <br/><br/> 2. триење,
Abreibung ,ќотек, 
Abreise ,заминување,
Abreißblock ,тетратка со страници за кинење,
Abreißkalender ,календар со страници за кинење,
Abrichtung ,дресура,
Abrieb ,1. изабување <br/><br/> 2. трошење,
Abriss ,1. краток преглед <br/><br/> 2. план <br/><br/> 3. нацрт <br/><br/> 4. скица,
Abruf ,1. отповик <br/><br/> 2. отповикување <br/> &emsp; <i>Abruf des Botschafters ≈ отповикување на амбасадорот</i>,
Abruf ,порачка <br/> &emsp; <i>Abruf der bestellten Ware. ≈ Порачка на нарачаната стока.</i>, 
Abrundung ,заокружување,
Abrüstung ,разоружување,
Abrüstungskonferenz ,конференција за разоружување,
Absage ,откажување,
Absatz ,1. потпетица <br/> &emsp; <i>hoher Schuhabsatz ≈ висока потпетица</i> <br/><br/> 2. топук,
Absatz ,1. пласман <br/> &emsp; <i>ein reißender Absatz ≈ извонреден пласман</i> <br/><br/> 2. продажба <br/><br/> 1. талог <br/><br/> 2. седимент <br/><br/> 1. поглавие <br/> &emsp; <i>neuer Absatz ≈ ново поглавие</i> <br/><br/> 2. став <br/><br/> 3. ставка, 
Abschaffung ,1. укинување <br/><br/> 2. аболиција,
Abschaum ,1. џган <br/><br/> 2. изрод,
Abscheu ,гнасење,
Abschiebung ,протерување, 
Abschied ,1. збогување <br/> &emsp; <i>Abschied nehmen ≈ се збогува</i> <br/><br/> 2. разделба,
Abschiedsbesuch ,(проштална посета),
Abschirmung ,1. заштита <br/><br/> 2. одбрани <br/><br/> 3. изолација,
Abschlag ,1. снижување <br/><br/> 2. попуст <br/><br/> 3. одбиток <br/><br/> (почетен удар), 
Abschlagszahlung ,1. аванс <br/><br/> 2. (делумна уплата), 
Abschleppdienst ,служба за влечење возила,
Abschleppseil ,јаже за влечење,
Abschluss ,1. завршеток <br/><br/> 2. диплома <br/><br/> 3. свидетелство,
Abschluss ,1. биланс <br/> &emsp; <i>Jahresabschluss ≈ годишен биланс</i> <br/><br/> 2. договор <br/> &emsp; <i>Vertragsabschluss ≈ склучување договор</i>, 
Abschnitt ,1. делница <br/> &emsp; <i>Streckenabschnitt ≈ делница на патот</i> <br/><br/> 2. отсечка <br/><br/> 3. отсек <br/><br/> 4. поглавје <br/> &emsp; <i>Ein wichtiger Abschnitt des Lebens. Buchabschnitt ≈ Важно поглавје од животот. поглавје на книгата</i>,
Abschottung ,изолирање,
Abschreckung ,1. заплашува <br/><br/> 2. застрашува,
Abschreibung ,амортизација, 
Abschrift ,1. препис <br/><br/> 2. копија, 
Abschuss ,отстрел,
Abschussrampe ,1. стартна рампа <br/><br/> 2. рампа за отстрел, 
Abschwächung ,слабеење <br/> &emsp; <i>Anschwächung der Wirtschaft Abschwächung der Nachfrage ≈ слабеење на економијата слабеење на побарувачката</i>,
Abschätzung ,проценка,
Abseite ,1. задна страна <br/><br/> 2. обратна страна <br/><br/> 3. опачина,
Abseitigkeit ,1. настраност <br/><br/> 2. туѓост,
Abseits ,офсајд, 
Absender ,испраќач,
Absetzung ,1. симнување <br/><br/> 2. отстранување,
Absicht ,1. намера <br/> &emsp; <i>böse Absicht ≈ злонамерност</i> <br/><br/> 2. цел,
Absolutheit ,апсолутност,
Absolution ,1. апсолуција <br/><br/> 2. (проштевање на гревовите),
Absolutismus ,апсолутизам, 
Absolvent ,апсолвент,
Absolventin ,апсолвентка,
Absonderung ,1. сепарација <br/><br/> 2. изолација <br/><br/> 3. одвојување,
Absonderung ,1. лачење <br/><br/> 2. секрет, 
Absorption ,апсорпција,
Absperrung ,1. бариера <br/><br/> 2. ограда,
Absprache ,договор,
Absprung ,1. отскок <br/><br/> 2. скок,
Abstammung ,потекло,
Abstand ,1. растојание <br/> &emsp; <i>Der Abstand verringert sich. ≈ Растојанието се намалува.</i> <br/><br/> 2. отстојание <br/> &emsp; <i>Mit Abstand der Beste. ≈ Со отстојание најдобрар.</i> <br/><br/> 3. разлика <br/> &emsp; <i>sozialer Abstand ≈ социјална разлика</i> <br/><br/> 4. откажување <br/> &emsp; <i>Von etwas Abstand nehmen. ≈ Откажување од нешто.</i> <br/><br/> 5. дистанца <br/> &emsp; <i>auf Abstand gehen ≈ оди на дистанца</i>,
Abstandhalter ,(држач на растојание),
Abstecher ,1. краткотрајна посета <br/><br/> 2. краткотрајна визита,
Absteige ,1. евтино преноќиште <br/><br/> 2. мизерно преноќиште,
Absteigequartier ,1. евтино преноќиште <br/><br/> 2. мизерно преноќиште, 
Absteiger ,испаѓа од лигата, 
Abstellgleis ,мртов колосек,
Abstellraum ,подрум,
Abstich ,прободување,
Abstieg ,1. спуштање <br/><br/> 2. снижување <br/><br/> 3. пропаѓање <br/> &emsp; <i>sozialer Abstieg ≈ социјална пропаст</i>,
Abstimmung ,1. гласање <br/><br/> 2. усогласување,
Abstinenz ,1. воздржаност <br/><br/> 2. апстиненција,
Abstinenzler ,1. апстинент <br/><br/> 2. воздржаник,
Abstraktheit ,апстрактност,
Abstraktion ,апстракција,
Abstufung ,1. степен <br/><br/> 2. градација <br/><br/> 3. нијанса,
Abstumpfung ,1. отапување <br/><br/> 2. нечувствителност,
Absturz ,1. пад <br/> &emsp; <i>Absturz der Währung ≈ пад на валутата</i> <br/><br/> 2. урнување,
Absurdität ,апсурдност,
Abszess ,1. апсцес <br/><br/> 2. гнојна рана <br/><br/> 3. чир, 
Abszisse ,апсциса, 
Abszissenachse ,апсцисна оска, 
Abt ,игумен, 
Abteil ,1. одделение <br/><br/> 2. купе,
Abteilung ,1. одделение <br/><br/> 2. оддел,
Abteilung ,единица, 
Abtrag ,1. изабување <br/><br/> 2. носење,
Abtransport ,одвоз,
Abtreibung ,абортус, 
Abtreibungsparagraf ,законски параграф за абортирање, 
Abtrennung ,1. раздвојување <br/><br/> 2. разделување, 
Abtreter ,(бришалка за чевли),
Abtretung ,1. отстапување <br/><br/> 2. цесија, 
Abtrift ,губење правец,
Abtritt ,1. оставка <br/><br/> 2. повлекување,
Abtrünnigkeit ,1. отпадништво <br/><br/> 2. нелојалност,
Aburteilung ,1. пресуда <br/><br/> 2. осудување,
Abwahl ,1. губење на избори <br/><br/> 2. неизбирање,
Abwanderung ,1. миграција <br/><br/> 2. напуштање,
Abwandlung ,1. изменување <br/><br/> 2. варијација,
Abwasch ,1. плакнење <br/><br/> 2. миење,
Abwaschwasser ,1. (вода од плакнење) <br/><br/> 2. (користена вода), 
Abwasser ,(отпадна вода), 
Abwechslung ,1. промена <br/> &emsp; <i>zur Abwechslung ≈ за промена</i> <br/><br/> 2. разонода, Abwechselung
Abweg ,погрешен пат,
Abwehr ,одбрана,
Abweichung ,1. отстапување <br/><br/> 2. отстапка <br/><br/> 3. разлика,
Abweisung ,одбивање,
Abwertung ,1. девалвација <br/><br/> 2. обезвреднување, 
Abwesende ,отсутниот,
Abwesenheit ,отсуство,
Abwicklung ,1. размотување <br/><br/> 2. (завршна постапка),
Abwurf ,фрлање <br/> &emsp; <i>Bombenabwurf ≈ фрлање бомба</i>, 
Abwurfvorrichtung ,направа за фрлање, 
Abwärme ,1. отпадна топлина <br/><br/> 2. испуштена топлина, 
Abwärtstrend ,1. (надолна тенденција) <br/><br/> 2. пад,
Abzahlung ,отплаќање,
Abzahlungsgeschäft ,(зделка со отплаќање на рати), 
Abzeichen ,значка,
Abzug ,1. повлекување <br/><br/> 2. копија <br/><br/> 3. петле,
Abzweig ,1. раздвојување <br/> &emsp; <i>Autobahnabzweig nach Hamburg ≈ раздвојување на автопатот кон Хамбург</i> <br/><br/> 2. делење <br/><br/> 3. расчленување,
Abzweigstelle ,место каде што доаѓа до делење,
Abzweigung ,1. расчленување <br/><br/> 2. раздвојување,
Abzählreim ,стих за одбројување,
Abänderung ,1. промена <br/><br/> 2. измена <br/><br/> 3. преиначување,
Abänderungsvorschlag ,1. предлог за промена <br/><br/> 2. предлог-амандман,
Ach ,аман! <br/> &emsp; <i>Ach und Weh schreien ≈ аман и леле</i>,
Achat ,"ахат, вид полускапоцен камен", 
Achillesverse ,1. Ахилова петица <br/><br/> 2. слаба точка,
Achlaut ,офкање,
Achse ,оска,
Achsel ,1. мишка <br/><br/> 2. рамо,
Achselhöhle ,1. подмишка <br/><br/> 2. под раменици, 
Achselklappe ,еполета, 
Achselzucken ,(кревање раменици),
Achsenbruch ,скршена оска, 
Achstlast ,(тежина по оска), 
Acht ,1. осумка <br/> &emsp; <i>mit Straßenbahnlinie 8 fahren ≈ се вози со трамвајската линија број 8</i> <br/><br/> 2. внимание <br/> &emsp; <i>sich in Acht nehmen ≈ биди внимателен</i> <br/><br/> 3. отстранување <br/> &emsp; <i>in Acht und Bann tun ≈ отстранување од световно и духовно</i>,
Achtbarkeit ,почитување,
Achte ,осми <br/> &emsp; <i>sie wurde Achte im Weitsprung ≈ таа беше осма во скок во далечина</i>,
Achtel ,осмина <br/> &emsp; <i>ein Achtel Rotwein ≈ една осмина црно вино</i>,
Achtelfinale ,осминафинале, 
Achtender ,осмак <br/> &emsp; <i>ein Hirsch mit acht Geweihenden ≈ елен со осум рога</i>,
Achter ,1. осмерец <br/><br/> 2. чамец за осуммина, 
Achterbahn ,тобоган,
Achterrennen ,натпревар во осмерци, 
Achtfache ,осумкатно,
Achtkampf ,осмобој, 
Achtlosigkeit ,невнимателност,
Achtsamkeit ,внимателност,
Achtstundentag ,осумчасовен работен ден,
Achttonner ,1. осумтонец <br/><br/> 2. осумтонски камион,
Achtuhrzug ,возот во осум,
Achtung ,внимание,
Achtzylinder ,осум цилиндри,
Achtzylindermotor ,мотор со осум цилиндри, 
Acker ,1. нива <br/><br/> 2. ораница,
Ackerbau ,1. земјоделство <br/><br/> 2. агрокултура,
Acryl ,акрил, 
Action ,акција,
Adagio ,адаџо, 
Adamsapfel ,Адамово јаболко, 
Adamskostüm ,1. Адамов костум <br/><br/> 2. гол,
Adapter ,адаптер <br/> &emsp; <i>Stromadapter ≈ адаптер за струја</i>, 
Addiermaschine ,машина за собирање,
Addition ,1. адиција <br/><br/> 2. собирање, 
Ade ,збогување,
Adebar ,штрк, 
Adel ,1. аристократија <br/><br/> 2. благородништво,
Adelsprädikat ,(аристократска титула),
Adelstitel ,(аристократска титула),
Ader ,жица <br/> &emsp; <i>Erzader ≈ рудна жица</i> <br/><br/> жила <br/> &emsp; <i>Blutader ≈ артерија</i>, 
Aderlass ,пуштање крв,
Adhäsion ,1. атхезија <br/><br/> 2. лепење,
Adieu ,1. адио <br/><br/> 2. збогум,
Adjektiv ,1. придавка <br/><br/> 2. адјектив, 
Adjustierung ,баждарење,
Adjutant ,аѓутант, 
Adler ,1. орел <br/><br/> 2. орел, 
Administration ,администрација, 
Admiral ,адмирал, 
Admiralität ,адмиралство, 
Admiralsrang ,ранг на адмирал, 
Admiralstab ,адмиралски штаб, 
Adoleszent ,аџамија,
Adonis ,1. Адонис <br/><br/> 2. убавец,
Adoption ,посвојување <br/> &emsp; <i>Adoption eines Kindes ≈ посвојување дете</i>,
Adoptiveltern ,1. посвоител <br/><br/> 2. посвојувач,
Adoptivkind ,посвојче,
Adoptivsohn ,посинок,
Adressat ,1. адресат <br/><br/> 2. примател на писмо,
Adressbuch ,1. адресар <br/><br/> 2. именик,
Adresse ,адреса,
Adressensammlung ,збирка на адреси,
Adressiermaschine ,машина за адресирање,
Adsorption ,апсорпција,
Advantage ,предност, 
Advent ,адвент, 
Adventist ,адвентист, 
Adventskalender ,(адвентски календар), 
Adventskranz ,(адвентски венец), 
Adventssonntag ,(адвентска недела), 
Adventszeit ,(времето на адвент), 
Adverb ,1. адверб <br/><br/> 2. прилог, 
Adverbialbestimmung ,1. адвербијално одредување <br/><br/> 2. прилошко определување, 
Adverbialsatz ,1. адвербијална реченица <br/><br/> 2. прилошка реченица, 
Advokat ,адвокат, 
Adäquatheit ,адекватност,
Aerobic ,аеробик,
Aerosol ,1. аеросол <br/><br/> 2. спреј, 
Affe ,мајмун, 
Affebrotbaum ,баобаб, 
Affektiertheit ,афектираност,
Affenhitze ,(претерана горештина), 
Affenliebe ,претерана љубов, 
Affenschande ,1. огромна срамота <br/><br/> 2. резил, 
Afferei ,мајмунлак,
Affigkeit ,мајмунлак,
Affäre ,афера,
Afrikaans ,1. Африкаанс <br/><br/> 2. јазик во Јужна Африка, 
Afrikaner ,Африканец, 
Afrikanerin ,Африканка, 
Afroamerikaner ,Афроамериканец, 
Afrolook ,1. афро-изглед <br/><br/> 2. афро-мода,
After ,задник, 
Aftershave ,лосион по бричење,
Agave ,агава, 
Agent ,агент,
Agentenring ,1. (синџир на агенти) <br/><br/> 2. (конспиративен синџир),
Agententätigkeit ,(агентска активност),
Agentin ,агентка,
Agentur ,агенција,
Aggregat ,агрегат, 
Aggregatszustand ,агрегатна состојба, 
Aggression ,1. агресија <br/><br/> 2. напад,
Aggressionskrieg ,1. напаѓачка војна <br/><br/> 2. освојувачка војна,
Aggressionstrieb ,агресивен нагон,
Aggressor ,агресор,
Agilität ,агилност,
Agio ,разлика меѓу номиналната и актуелната вредност, 
Agitation ,агитација,
Agitator ,агитатор,
Agonie ,агонија, 
Agraffe ,1. брош <br/><br/> 2. накит,
Agrarier ,земјоделец,
Agrarpolitik ,аграрна политика, 
Agrarreform ,аграрна реформа,
Agronom ,агроном,
Agronomie ,агрономија,
Aha-Erlebnis ,"спонтано му се разјасни, му светна",
Ahle ,шило,
Ahn ,предок,
Ahndung ,1. казна <br/><br/> 2. прогонство,
Ahne ,женски предок <br/> &emsp; <i>Stammmutter ≈ мајка на племето</i> <br/><br/> предок,
Ahnentafel ,1. (табла на предците) <br/><br/> 2. (фамилијарно стебло),
Ahnung ,1. претстава <br/> &emsp; <i>Ich habe eine unklare Ahnung. ≈ Имам нејасна претстава.</i> <br/><br/> 2. поим <br/> &emsp; <i>keine Ahnung haben ≈ нема поим</i> <br/><br/> 3. претчувство <br/> &emsp; <i>eine Schlimme Ahnung ≈ едно лошо претчувство</i>,
Ahnungslosigkeit ,без претстава,
Ahorn ,јавор, 
Aids ,СИДА, 
Aidstest ,тест за СИДА, 
Air ,1. воздух <br/><br/> 2. аура,
Airbag ,воздушно перниче,
Airbus ,ербас авион,
Airconditioning ,климатизација, 
Ajatollah ,ајатула, 
Akademie ,академија,
Akademiker ,академик,
Akanthus ,акантус, 
Akazie ,багрем, 
Akelei ,"агалеа, вид цвеќе", 
Akklamation ,1. акламација <br/><br/> 2. едногласен избор,
Akklimatisation ,1. аклиматизација <br/><br/> 2. приспособување на климата,
Akkord ,акорд <br/><br/> акорд, 
Akkordarbeit ,(работа по акорд), 
Akkordarbeiter ,(работник по акорд), 
Akkordeon ,хармоника, 
Akkordlohn ,(плата по акорд), 
Akku ,акумулатор, 
Akkumulation ,акумулација,
Akkumulator ,акумулатор,
Akkuratesse ,1. точност <br/><br/> 2. прецизност <br/><br/> 3. акуратност,
Akne ,1. акна <br/><br/> 2. мозолче, 
Akquisiteur ,1. продавач <br/><br/> 2. привлекува муштерии,
Akquisition ,1. аквизиција <br/><br/> 2. купување <br/><br/> 3. врбува муштерии,
Akribie ,1. прецизност <br/><br/> 2. деталност,
Akrobat ,акробат,
Akrobatik ,акробатика, 
Akrobatin ,акробатка,
Akropolis ,акрополис, 
Akt ,1. чин <br/><br/> 2. дело <br/><br/> 3. случај <br/><br/> 4. акт,
Akte ,1. акт <br/> &emsp; <i>ad acta ≈ завршен случај</i> <br/><br/> 2. документ,
Aktenordner ,фасцикла, 
Aktenschnur ,емственик, 
Aktenschrank ,(орман за документи), 
Aktentasche ,актовка, 
Aktenzeichen ,(број на предмет), 
Akteur ,1. актер <br/><br/> 2. играч,
Aktie ,1. акција <br/><br/> 2. вредносна хартија, 
Aktiengesellschaft ,акционерско друштво, 
Aktion ,1. акција <br/><br/> 2. дејство <br/><br/> 3. постапка,
Aktionist ,1. акционист <br/><br/> 2. учесник во уметнички акции, 
Aktionsradius ,радиус на акција,
Aktionär ,акционер, 
Aktionärsversammlung ,акционерско собрание, 
Aktiv ,актив, 
Aktiva ,активни средства на една компанија, 
Aktivismus ,1. активизам <br/><br/> 2. земање учество,
Aktivist ,активист,
Aktivistin ,активистка,
Aktivität ,1. активитет <br/><br/> 2. активност,
Aktualität ,актуелност,
Akupunktur ,акупунктура, 
Akustik ,акустика, 
Akzent ,1. акцент <br/><br/> 2. изговор,
Akzeptierung ,прифаќање,
Alabaster ,алабастер, 
Alarm ,1. аларм <br/><br/> 2. штрек <br/><br/> 3. аларм <br/><br/> 4. тревога,
Alarmbereitschaft ,штрек,
Alarmzustand ,тревога,
Alaun ,стипса, 
Alaunstein ,стипсин камен, 
Alb ,подземен дух,
Albaner ,Албанец,
Albanien ,Албанија, 
Albatros ,албатрос, 
Albdrücken ,1. мора <br/><br/> 2. (притисок под дејство на страв), Albdruck
Alberei ,1. детско однесување <br/><br/> 2. инфантилност,
Albernheit ,1. инфантилност <br/><br/> 2. детско однесување,
Albinismus ,албинизам, 
Albino ,албино, 
Albtraum ,1. (ноќна мора) <br/><br/> 2. кошмар,
Album ,албум,
Alchemie ,алхемија,
Alchemist ,алхемичар, 
Ale ,"ејл, англиско пиво", 
Alge ,алга, 
Algebra ,алгебра, 
Algorithmus ,алгоритам, 
Alibi ,алиби,
Alimentation ,алиментација,
Alimente ,1. алимента <br/><br/> 2. алиментација,
Alkali ,алкали,
Alkohol ,алкохол,
Alkoholika ,алкохолни пијалаци, 
Alkoholiker ,алкохоличар, 
Alkoholisierung ,алкохолизирање,
Alkoholismus ,алкохолизам, 
Alkoholmissbrauch ,злоупотреба на алкохол,
Alkoholspiegel ,ниво на алкохол во крвта, 
Alkoholsünder ,алкохолен престапник, 
Alkoholvergiftung ,труење од алкохол, 
Alkoven ,1. легло <br/><br/> 2. лежиште,
All ,1. универзум <br/><br/> 2. вселена,
Allah ,1. Алах <br/><br/> 2. Господ, 
Allee ,алеа,
Allegorie ,алегорија,
Allegro ,алегро, 
Alleinerbe ,единствен наследник, 
Alleinerziehende ,самовоспитувач,
Alleingang ,"сам, на своја рака",
Alleinherrscher ,самовладател,
Alleininhaber ,единствен сопственик,
Alleinsein ,самотија,
Alleinverdiener ,1. самоиздржувач <br/><br/> 2. само еден во фамилијата работи за плата,
